A	B	y
1.9936411193372305	0.7903583836467621	1.0
8.335374978869135	-1.8980616703331017	4.0
6.794548502803219	0.16139931262139623	5.0
6.025951633677203	1.4584095942351993	5.0
5.749385159133886	0.013597361755928294	5.0
0.20635400410117866	4.843036518740207	0.0
-1.3036083227685398	7.571522667048907	3.0
2.753724670540214	0.9014345490242062	1.0
1.240484583214236	7.032616785889967	6.0
1.4859554679626927	1.1675680148786982	1.0
6.457019901958289	-0.0532935466887684	5.0
4.252006283671533	2.821500289640729	5.0
7.143169514005471	0.5520998368036016	5.0
0.7179386685257553	8.66204799285935	6.0
-1.5767197372875836	4.957405922888751	0.0
-1.3435648139643042	4.58882529412198	2.0
0.6283579292203425	4.46013629655237	0.0
-0.7300001120785176	6.25456272268018	0.0
-2.100841621916797	7.858419771249546	3.0
5.7613811157050945	-0.7194812608986512	5.0
1.8407062774060008	3.561622307041948	0.0
7.466098189185564	0.9556575647888066	5.0
9.950717379366997	-2.279349234002024	4.0
3.9421388683359506	0.40008525135507617	5.0
10.00491413705098	-2.3966579986289283	4.0
-3.766508071883642	3.31938131642341	2.0
-2.0812136397932064	2.4472446031783313	2.0
8.907704120034548	-1.3930770825788	4.0
-0.6039047165638629	1.5039831842973177	1.0
9.58158645597993	-3.709253090548523	4.0
-0.01953953042862344	7.976018204187059	6.0
2.3357092267491737	-0.09545995099164384	1.0
6.085498877661616	1.6326563202383715	5.0
5.5095658033327926	-0.13340796468469984	5.0
1.1215946307363016	8.265139208064468	6.0
-1.919293011371542	-0.12826079346680386	2.0
-1.7298008539885725	2.807999482023809	2.0
-1.6337216383489732	9.392870326934192	6.0
-2.4570605157462264	2.739293169245794	2.0
1.6456818210130089	8.20255517296986	6.0
-1.175123902540547	3.2971177948687096	2.0
-0.10392051670579927	3.313968846289683	2.0
0.163123796502041	2.577504725116713	0.0
9.328426564800818	-2.032192167365428	4.0
1.8738080687064222	5.970693958164996	6.0
-2.859115667816407	0.9492575715471026	2.0
1.7053606407240318	4.4327702382058005	0.0
8.872020500109404	-3.1312520995690467	4.0
9.066310499463295	-3.0092650842706923	4.0
0.06344785310233647	5.4208036155442425	0.0
2.6225577992855476	0.6749885594227824	1.0
2.518397850751485	1.1767594243303903	1.0
-1.613310991292408	6.04413246760041	3.0
1.000639057447864	1.7179114972626182	1.0
-0.43055716755610685	2.6836664599885864	2.0
1.2121250696449666	8.60793697082299	6.0
-1.2426243424146908	4.660551041988754	2.0
-0.5645269358981297	4.367049321648722	0.0
-2.806593186426145	2.33245105705535	2.0
11.619902240547148	-3.610330730512704	4.0
0.46661789679484156	3.8657130258372034	0.0
1.7443813497344063	0.9950638262067203	1.0
-1.028213738312078	3.9658544173011756	2.0
-0.20029670796931143	-0.12484318369766667	1.0
0.7358638311939745	8.121540071867713	6.0
1.9371034763043082	0.21748545594108648	1.0
-2.0061266351713165	7.785375921356772	3.0
6.339887700230634	0.9371475515715451	5.0
-2.0859338166540953	7.244276911877164	3.0
-2.4356672591809585	2.4935646403552214	2.0
9.754370336409423	0.4281854905371367	4.0
2.1550496497061458	4.123862491636039	0.0
6.605173816116635	0.4474586612747614	5.0
10.792014546984166	-3.502330084934526	4.0
9.49883687358939	-0.942024307806518	4.0
-1.2097433869292167	3.4379228759039906	2.0
1.6703877122516024	0.9920152492550108	1.0
8.850940385895315	-2.2264555940511612	4.0
-2.1275615708796938	4.4701254413816836	2.0
1.5734782683161823	10.058964262844064	6.0
5.534021976067869	0.22286966400271463	5.0
-0.2178175073305455	5.788136402583632	3.0
-0.7778226298996684	8.14690708719575	3.0
1.7875339845389115	-0.23034767153207003	1.0
-0.29445281643103205	8.665577226668887	6.0
1.1429435739190241	4.938818764340496	0.0
8.553314677878692	-3.224744025798637	4.0
9.977366232162169	-3.8268491397414617	4.0
2.6337890191617563	1.247318116931111	1.0
-0.6363285820149924	6.493963290058551	3.0
-0.23641334175196116	7.177508970880425	3.0
8.258429302286146	-2.9335014770673076	4.0
0.5067303789959083	7.702471593332002	3.0
0.06897171416325287	4.355732723244529	0.0
0.3565685096640323	7.513741037621356	6.0
6.801268772819752	1.0859663044495664	5.0
2.0039457672179384	9.100157694971157	6.0
5.367007587995438	-0.28459490466664517	5.0
-2.4658855858996906	3.934903252746367	2.0
0.6087328218694901	1.6979616092779644	1.0
-0.7192105364117186	8.25808863735042	3.0
6.224865705161914	2.1664290861556212	5.0
-0.2235823412722897	9.356387072457807	6.0
0.866408263648849	0.3908473056392493	1.0
2.454313867073008	-1.8749290964887133	1.0
